TURNO,LINHA,TIPO DE VIAGEM,BAIRRO,PONTO DE PASSAGEM,PARADA
ADM,LINHA 05,IDA,BARRAMAR,AV. DOS HOLANDESES,FEST LANCHE
ADM,LINHA 05,IDA,QUINTAS DO CALHAU,AV. DOS HOLANDESES,SAL E BRASA
ADM,LINHA 05,IDA,QUINTAS DO CALHAU,AV. DOS HOLANDESES,PRIMEIRA PARADA DEPOIS DO GOLDEM
ADM,LINHA 05,IDA,CALHAU,AV. DOS HOLANDESES,BANCO DO NORDESTE
ADM,LINHA 05,IDA,CALHAU,AV. DOS HOLANDESES,IBIS HOTEL
ADM,LINHA 05,IDA,CALHAU,AV. DOS HOLANDESES,AABB
ADM,LINHA 05,IDA,CALHAU,AV. DOS HOLANDESES,POSTO PETROBRAS
ADM,LINHA 05,IDA,CALHAU,AV. DOS HOLANDESES,NOIVISSIMA
ADM,LINHA 05,IDA,CALHAU,AV. DOS HOLANDESES,POSTO SÃO MARCOS
ADM,LINHA 05,IDA,CALHAU,AV. DOS HOLANDESES,COND. FAROL DA ILHA/ RIO POTY HOTEL
ADM,LINHA 05,IDA,CALHAU,AV. DOS HOLANDESES,EXTRA-FARMA DEPOIS PETISCALDOS
ADM,LINHA 05,IDA,CALHAU,AV. DOS HOLANDESES,PRAÇA DO SOL
ADM,LINHA 05,IDA,CALHAU,AV. DOS HOLANDESES,HOTEL VELEIROS
ADM,LINHA 05,IDA,PONTA DA AREIA,AV. DOS HOLANDESES,BANCO DO BRASIL PRÓX. MIRANTE
ADM,LINHA 05,IDA,SÃO FRANCISCO,AVENIDA ANA JANSEN,FOTO SOMBRA
ADM,LINHA 05,IDA,SÃO FRANCISCO,AV. CASTELO BRANCO,ANTIGO BRADESCO CABECEIRA DA PONTE
ADM,LINHA 05,VOLTA,SÃO FRANCISCO,AVENIDA CASTELO BRANCO,EM FRENTE A CAIXA ECONÔMICA
ADM,LINHA 05,VOLTA,SÃO FRANCISCO,AVENIDA CASTELO BRANCO,PARADA DE ÔNIBUS - PRÓX. IGREJA CATÓLICA
ADM,LINHA 05,VOLTA,SÃO FRANCISCO,AVENIDA ANA JANSEN,BANCO DO BRASIL PRÓX. MIRANTE
ADM,LINHA 05,VOLTA,PONTA DAREIA,AVENIDA ANA JANSEN,HOTEL VELEIROS
ADM,LINHA 05,VOLTA,CALHAU,AVENIDA DOS HOLANDESES,CONDOMINIO ACQUABELLE
ADM,LINHA 05,VOLTA,CALHAU,AVENIDA DOS HOLANDESES,PARADA DE ONIBUS HOTEL PREMIER
ADM,LINHA 05,VOLTA,CALHAU,AVENIDA DOS HOLANDESES,POSTO SÃO MARCOS
ADM,LINHA 05,VOLTA,CALHAU,AVENIDA DOS HOLANDESES,ENTRADA DO LUZEIROS PARADA DE ONIBUS
ADM,LINHA 05,VOLTA,CALHAU,AVENIDA DOS HOLANDESES,POSTO PETROBRAS
ADM,LINHA 05,VOLTA,CALHAU,AVENIDA DOS HOLANDESES,AABB
ADM,LINHA 05,VOLTA,CALHAU,AVENIDA DOS HOLANDESES,IBIS HOTEL
ADM,LINHA 05,VOLTA,CALHAU,AVENIDA DOS HOLANDESES,SHOPPING DOS COLCHÕES
ADM,LINHA 05,VOLTA,CALHAU,AVENIDA DOS HOLANDESES,FRIBAL
ADM,LINHA 05,VOLTA,CALHAU,AVENIDA DOS HOLANDESES,GOLDEN SHOPPING
ADM,LINHA 05,VOLTA,QUINTAS DO CALHAU,AVENIDA DOS HOLANDESES,SOL & BRASA
ADM,LINHA 05,VOLTA,BARRAMAR,AVENIDA DOS HOLANDESES,FEST LANCHE
